P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	4	12	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.41	1
5	4	13	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.73	1
5	4	14	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.55	1
5	4	15	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.51	1
5	4	16	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.50	0
5	4	17	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.35	0
5	4	18	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.55	1
5	4	19	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.39	0
5	4	20	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.43	0
5	4	21	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.42	1
5	4	22	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.31	1
5	4	23	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.45	1
5	4	24	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.28	0
5	4	25	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.36	0
5	4	26	+0.72	NaN	NaN	NaN	NaN	NaN	0	+0.05	0
5	4	27	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.27	1
5	4	28	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
5	4	29	+0.72	NaN	NaN	NaN	NaN	NaN	1	+0.31	1
5	5	0	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.89	1
5	5	1	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.25	1
5	5	2	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.32	1
5	5	3	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.32	0
5	5	4	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.48	0
5	5	5	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.33	1
5	5	6	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.33	0
5	5	7	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.33	0
5	5	8	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	5	9	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.22	1
5	5	10	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.36	0
5	5	11	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.30	1
5	5	12	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.28	0
5	5	13	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.62	1
5	5	14	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.23	0
5	5	15	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	5	16	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.28	1
5	5	17	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.30	1
5	5	18	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.23	0
5	5	19	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
5	5	20	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
5	5	21	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.21	1
5	5	22	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
5	5	23	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.27	0
5	5	24	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.55	0
5	5	25	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.26	0
5	5	26	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.24	0
5	5	27	+0.38	NaN	NaN	NaN	NaN	NaN	1	+0.25	0
5	5	28	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.31	1
5	5	29	+0.38	NaN	NaN	NaN	NaN	NaN	0	+0.21	1
5	6	0	+0.28	NaN	NaN	NaN	NaN	NaN	0	+4.57	1
5	6	1	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.20	0
5	6	2	+0.28	NaN	NaN	NaN	NaN	NaN	0	+0.36	0
