k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	89	0	-0.95	-0.73	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	90	0	-0.78	-0.53	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	91	0	-0.10	-0.22	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
0	92	0	-0.65	-0.59	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	93	0	-0.57	-0.49	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
0	94	1	+0.80	+1.03	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	95	0	-0.74	-0.86	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	96	1	+0.83	+1.08	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	97	0	-0.04	-0.25	+0.89	+0.11	+1.00	+0.00	0	0	NaN	1
0	98	1	+0.69	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	99	0	-0.44	-0.20	+0.84	+0.16	+1.00	+0.00	0	0	NaN	1
0	100	1	+0.04	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	1
0	101	1	+0.13	+0.06	+0.38	+0.62	+0.00	+1.00	1	1	NaN	1
0	102	1	+0.77	+0.81	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	103	1	+0.99	+1.11	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	104	1	+0.08	+0.05	+0.40	+0.60	+0.00	+1.00	1	1	NaN	1
0	105	1	+0.12	+0.41	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
0	106	1	+0.33	+0.38	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
0	107	0	-0.25	-0.21	+0.85	+0.15	+1.00	+0.00	0	0	NaN	1
0	108	0	-0.57	-0.63	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	109	0	-0.25	-0.23	+0.88	+0.12	+1.00	+0.00	0	0	NaN	1
0	110	1	+0.96	+0.88	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	111	1	+0.29	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	1
0	112	1	+0.60	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	113	1	+0.05	-0.15	+0.77	+0.23	+1.00	+0.00	0	0	NaN	0
0	114	0	-0.15	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
0	115	1	+0.25	+0.57	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	116	0	-0.61	-0.62	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	117	1	+0.50	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	118	1	+0.86	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	119	0	-0.41	-0.28	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
0	120	1	+0.81	+0.98	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	121	1	+0.16	+0.44	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	122	0	-0.93	-0.83	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	123	1	+0.92	+1.00	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	124	0	-0.94	-1.04	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	125	1	+0.25	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
0	126	1	+0.58	+0.30	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
0	127	0	-0.73	-1.07	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	128	0	-0.86	-1.02	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	129	0	-0.65	-0.81	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	130	0	-0.47	-0.22	+0.87	+0.13	+1.00	+0.00	0	0	NaN	1
0	131	0	-0.04	-0.02	+0.55	+0.45	+1.00	+0.00	0	0	NaN	1
0	132	1	+0.50	+0.48	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
0	133	1	+0.80	+0.94	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	134	1	+0.31	+0.20	+0.16	+0.84	+0.00	+1.00	1	1	NaN	1
